time,ref_x,ref_y,ref_z,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mocap_x,mocap_y,mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.1150,-3,-3,-3,-4.1929e-19,-4.9563e-19,-6.1664e-18,1.0842e-19,-5.421e-19,-5.5294e-18,5.6694e-17,-8.7334e-17,5.5311e-18,0,0,0,-2.2973e-17,-2.1216e-17,-8.8471e-17,5.2042e-18,-1.7347e-18,-8.8471e-17,4.3401e-16,-1.627e-15,1.0473e-16,4.9971e-16,-1.642e-15,1.071e-16,-1.5613e-17,-2.0817e-17,0,0,-1.301e-17,4.3151e-17,-5.4617e-18,-8.8818e-16,-2.7756e-17,-2.7756e-17,3.4694e-18,-8.6639e-16,-5.6248e-16,-1.7764e-15,0,0,-1.7764e-15,4.339e-16,-1.6271e-15,1.0473e-16,-3.5527e-15,-2.1094e-15,0,-1.8241e-19,-2.5407e-19,-4.9331e-18,0,0,0
0.1200,-3,-3,-3,-5.3416e-19,-6.0171e-19,-6.6136e-18,4.3368e-19,-4.3368e-19,-6.2884e-18,5.8865e-17,-9.5469e-17,6.0546e-18,0,0,0,-2.7305e-17,-2.4029e-17,-9.7145e-17,5.2042e-18,-1.7347e-18,-8.8471e-17,3.7199e-16,-1.6749e-15,1.0804e-16,4.3769e-16,-1.6579e-15,1.0756e-16,-1.5613e-17,-2.0817e-17,0,0,-1.0083e-17,4.3151e-17,-5.3736e-18,0,0,0,0,-9.5878e-16,-5.9116e-16,0,0,0,0,3.7199e-16,-1.6749e-15,1.0804e-16,-3.5527e-15,-2.609e-15,0,-3.2378e-19,-4.028e-19,-5.7192e-18,-2.7756e-17,0,0
0.1250,-3,-3,-3,-6.7068e-19,-7.2186e-19,-7.1015e-18,4.3368e-19,-4.3368e-19,-6.2884e-18,6.0722e-17,-1.0384e-16,6.595e-18,0,0,0,-3.2099e-17,-2.6985e-17,-9.7145e-17,5.2042e-18,-1.7347e-18,-8.8471e-17,3.7199e-16,-1.6749e-15,1.0804e-16,4.0576e-16,-1.6661e-15,1.0779e-16,-1.5613e-17,-2.0817e-17,0,0,-1.0083e-17,4.3151e-17,-5.3736e-18,0,-2.7756e-17,0,-3.4694e-18,-1.0536e-15,-6.1615e-16,0,0,0,0,3.7199e-16,-1.6749e-15,1.0804e-16,-3.5527e-15,-2.609e-15,0,-3.2378e-19,-4.028e-19,-5.7192e-18,-2.7756e-17,0,0
0.1300,-3,-3,-3,-8.3118e-19,-8.568e-19,-7.5894e-18,5.421e-19,-6.5052e-19,-6.9931e-18,6.2586e-17,-1.1222e-16,7.1354e-18,0,0,0,-3.7367e-17,-3.0065e-17,-9.6928e-17,1.7347e-18,0,-8.6736e-17,3.0997e-16,-1.6749e-15,1.0479e-16,3.5928e-16,-1.6703e-15,1.0633e-16,-1.5613e-17,-2.0817e-17,0,0,-8.2399e-18,4.3477e-17,-5.3126e-18,8.8818e-16,-5.5511e-17,-5.5511e-17,-6.9389e-18,-1.1485e-15,-6.4044e-16,1.7764e-15,0,0,1.7764e-15,3.1008e-16,-1.6749e-15,1.0479e-16,-3.5527e-15,-2.609e-15,0,-5.3416e-19,-6.0171e-19,-6.6136e-18,-2.7756e-17,-2.7756e-17,0
0.1350,-3,-3,-3,-1.018e-18,-1.0071e-18,-8.0773e-18,5.421e-19,-6.5052e-19,-6.9931e-18,6.4131e-17,-1.2059e-16,7.6572e-18,0,0,0,-4.3109e-17,-3.3266e-17,-8.8037e-17,1.7347e-18,0,-8.6736e-17,1.8605e-16,-1.7705e-15,9.8229e-17,2.7517e-16,-1.7189e-15,1.024e-16,-1.5613e-17,-2.0817e-17,0,0,-8.2399e-18,4.3477e-17,-5.3126e-18,1.7764e-15,-2.7756e-17,-2.7756e-17,-1.0408e-17,-1.2431e-15,-6.6093e-16,5.3291e-15,0,0,5.3291e-15,1.8605e-16,-1.7705e-15,9.8229e-17,-3.5527e-15,-2.609e-15,0,-5.3416e-19,-6.0171e-19,-6.6136e-18,-2.7756e-17,-2.7756e-17,0
0.1400,-3,-3,-3,-1.2336e-18,-1.1735e-18,-8.5245e-18,3.2526e-19,-5.421e-19,-7.6978e-18,6.5066e-17,-1.2945e-16,8.1451e-18,0,0,0,-4.9325e-17,-3.657e-17,-6.1583e-17,0,3.4694e-18,-8.3267e-17,1.2425e-16,-1.8184e-15,8.8362e-17,2.0188e-16,-1.7671e-15,9.5572e-17,-1.5613e-17,-2.0817e-17,0,0,-4.6621e-18,4.597e-17,-4.7705e-18,0,2.7756e-17,-2.7756e-17,-1.7347e-17,-1.3425e-15,-6.7475e-16,0,0,0,0,1.2403e-16,-1.8184e-15,8.8362e-17,-3.5527e-15,-2.9421e-15,-1.4211e-14,-8.3118e-19,-8.568e-19,-7.5894e-18,-2.7756e-17,-2.7756e-17,1.7764e-15
0.1450,-3,-3,-3,-1.4802e-18,-1.3563e-18,-8.8362e-18,3.2526e-19,-5.421e-19,-7.6978e-18,6.5686e-17,-1.3854e-16,8.5855e-18,0,0,0,-5.6037e-17,-3.9943e-17,-6.0715e-17,0,3.4694e-18,-8.3267e-17,1.8648e-16,-1.8661e-15,7.1991e-17,1.9516e-16,-1.8154e-15,8.4134e-17,-1.5613e-17,-2.0817e-17,0,0,-4.6621e-18,4.597e-17,-4.7705e-18,0,8.3267e-17,-5.5511e-17,-1.7347e-17,-1.4442e-15,-6.8467e-16,0,0,0,0,1.8648e-16,-1.8661e-15,7.1991e-17,-3.5527e-15,-2.9421e-15,-1.4211e-14,-8.3118e-19,-8.568e-19,-7.5894e-18,-2.7756e-17,-2.7756e-17,1.7764e-15
0.1500,-3,-3,-3,-1.7604e-18,-1.556e-18,-9.1344e-18,0,-4.3368e-19,-8.782e-18,6.6621e-17,-1.4787e-16,8.9447e-18,0,0,0,-6.3258e-17,-4.3365e-17,-6.0715e-17,-6.9389e-18,0,-5.5511e-17,3.7253e-16,-1.962e-15,5.5728e-17,2.8103e-16,-1.8867e-15,7.0311e-17,-1.5613e-17,-2.0817e-17,0,0,-6.5052e-18,4.9114e-17,-3.5101e-18,0,1.1102e-16,2.7756e-17,-6.9389e-18,-1.5481e-15,-6.9744e-16,0,0,0,0,3.721e-16,-1.962e-15,5.5728e-17,-3.5527e-15,-2.9421e-15,-1.4211e-14,-1.2336e-18,-1.1735e-18,-8.5245e-18,-2.7756e-17,-2.7756e-17,0
0.1550,-3,-3,-3,-2.0767e-18,-1.7728e-18,-9.4326e-18,0,-4.3368e-19,-8.782e-18,6.8484e-17,-1.5768e-16,9.2225e-18,0,0,0,-7.0999e-17,-4.6854e-17,-5.8981e-17,-6.9389e-18,0,-5.5511e-17,6.2016e-16,-1.9143e-15,4.9223e-17,4.4669e-16,-1.9e-15,6.0038e-17,-1.5613e-17,-2.0817e-17,0,0,-6.5052e-18,4.9114e-17,-3.5101e-18,0,1.1102e-16,0,-1.3878e-17,-1.6567e-15,-7.1954e-16,-3.5527e-15,0,0,-3.5527e-15,6.2016e-16,-1.9143e-15,4.9223e-17,-3.5527e-15,-2.9421e-15,-1.4211e-14,-1.2336e-18,-1.1735e-18,-8.5245e-18,-2.7756e-17,-2.7756e-17,0
0.1600,-3,-3,-3,-2.4317e-18,-2.007e-18,-9.7307e-18,1.0842e-19,-9.7578e-19,-8.8905e-18,7.1584e-17,-1.6724e-16,9.4664e-18,0,0,0,-7.9282e-17,-5.0453e-17,-7.6328e-17,-1.3878e-17,-6.9389e-18,-4.1633e-17,8.6736e-16,-1.9143e-15,3.6104e-17,6.5139e-16,-1.9073e-15,4.841e-17,-1.5613e-17,-2.0817e-17,0,0,-1.5179e-17,4.9602e-17,-2.4259e-18,-8.8818e-16,1.1102e-16,1.1102e-16,-1.3878e-17,-1.7626e-15,-7.5439e-16,-1.7764e-15,0,0,-1.7764e-15,8.6736e-16,-1.9143e-15,3.6104e-17,-7.1054e-15,-3.2196e-15,0,-1.7604e-18,-1.556e-18,-9.1344e-18,0,0,0
