time,out_motors,out_plant,out_kalman,out_mpc,out_sensors,out_mahony,out_lqi,up_kalman,up_mpc,up_lqi,up_mocap,up_motors,up_plant
1.0350,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
1.0400,1.00,1.00,0.00,-1.00,1.00,1.00,1.00,1.00,-1.00,0.00,0.00,0.00,0.00
1.0450,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
1.0500,0.00,1.00,1.00,-1.00,1.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,0.00
1.0550,0.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
1.0600,0.00,2.00,0.00,-1.00,2.00,1.00,0.00,2.00,-1.00,1.00,0.00,1.00,0.00
1.0650,1.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
1.0700,0.00,0.00,0.00,-1.00,2.00,1.00,0.00,2.00,-1.00,0.00,1.00,0.00,1.00
1.0750,0.00,1.00,-1.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
1.0800,0.00,0.00,0.00,-1.00,2.00,0.00,0.00,2.00,-1.00,0.00,0.00,0.00,0.00
1.0850,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,1.00
1.0900,0.00,1.00,0.00,-1.00,1.00,1.00,1.00,2.00,-1.00,1.00,0.00,1.00,0.00
1.0950,1.00,0.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
1.1000,1.00,1.00,0.00,5615.00,2.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00
1.1050,1.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
1.1100,0.00,1.00,1.00,-1.00,1.00,0.00,0.00,2.00,-1.00,0.00,0.00,1.00,0.00
1.1150,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
